id,smiles,notes,params_json
346639,B1(OC(=C(O1)C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4,,
351064,B(CCCCCC)(O)O,,
351065,B(CCC)(O)O,,
352103,B(CCCCC)(O)O,,
368290,B1(OC(C(O1)(C)C)(C)C)O,,
368422,B(CCCCCCCCCCCCC)(O)O,,
382435,B(C1=CC=C(C=C1)CC(C(=O)NC(CO)CO)N)(O)O,,
387437,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC2=CC=CC=C21)NC(=O)N3CCOCC3)(O)O,,
387439,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC2=CC=CC=C21)NS(=O)(=O)C3=CC=CC4=C3N=CC=C4)(O)O,,
387440,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC2=CC=CC=C21)N)(O)O.Cl,,
387442,B([C@H](CC(C)C)NC(=O)[C@@H](CC1=CC=CC2=CC=CC=C21)NC(=O)N3CCOCC3)(O)O,,
387445,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC2=CC=CC=C21)NC)(O)O.Cl,,
387446,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC2=CC=CC=C21)NC)(O)O,,
387447,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,,
387448,B([C@H](CC(C)C)NC(=O)CCC1=CC=CC=C1)(O)O,,
388336,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)CCC2=CC=CC=C2)(O)O,,
403788,B1(C2=CC=CC=C2CO1)O,,
425307,B(OC(=O)C)(OC(=O)C)OC(=O)C,,
444965,[B-](CCCC[C@@H](C(=O)O)N)(O)(O)O,,
446122,[B-](CCSC[C@@H](C(=O)O)N)(O)(O)O,,
446555,[B-](C1=CC=CC=C1)(O)(O)O,,
446576,[B-]1(O[C@@]2([C@](O1)([C@H](CO2)O)O)C)(O)O,,
447454,[B-](CNC(=O)C1=C(C=CC2=CC=CC=C21)OCC)(O)(O)O,,
448523,[B-]1(OCCO1)(O)O,,
449487,[B-]([C@H](CC1=CC=CC2=CC=CC=C21)NC(=O)C)(O)(O)O,,
469539,B(C(CCCC)N)(O)O,,
469541,B(C(CC(C)C)N)(O)O,,
469542,B(C(CC1=CC=CC=C1)N)(O)O,,
469543,B(C1CCCN1)(O)O,,
482204,B(C(CC=C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)(C)C)NC(=O)[C@H](CC1=CC=CC=C1C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)CCC(=O)O)(O)O,,
490002,B([C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCC1=CC=CC=C1)(O)O,,
490005,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC2=CC=CC=C21)NC(=O)C3=NC=CN=C3)(O)O,,
497668,B(CCCCCN1C=NC2=C1N=C(N=C2Cl)N)(O)O,,
500540,B1(O[C@@H]2C[C@@H]3C[C@@H]([C@@]2(O1)C)C3(C)C)[C@H](CCC4=CC=CC=C4F)NC(=O)[C@@H]5CCCN5C(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)N,,
500541,B1(O[C@@H]2C[C@@H]3C[C@@H]([C@@]2(O1)C)C3(C)C)[C@H](CCC4=CC(=CC=C4)F)NC(=O)[C@@H]5CCCN5C(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)N,,
500542,B1(O[C@@H]2C[C@@H]3C[C@@H]([C@@]2(O1)C)C3(C)C)[C@H](CCC4=CC=C(C=C4)F)NC(=O)[C@@H]5CCCN5C(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)N,,
500543,B1(O[C@@H]2C[C@@H]3C[C@@H]([C@@]2(O1)C)C3(C)C)[C@H](CCC4=C(C=CC=C4F)F)NC(=O)[C@@H]5CCCN5C(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)N,,
500544,B1(O[C@@H]2C[C@@H]3C[C@@H]([C@@]2(O1)C)C3(C)C)[C@H](CCC4=CC(=CC=C4)C(F)(F)F)NC(=O)[C@@H]5CCCN5C(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)N,,
500545,B1(O[C@@H]2C[C@@H]3C[C@@H]([C@@]2(O1)C)C3(C)C)[C@H](CCC4=CC=C(C=C4)C(F)(F)F)NC(=O)[C@@H]5CCCN5C(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)N,,
500568,B(C(CC)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)(C)C)NC(=O)[C@H](CC1=CC=CC=C1C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)CCC(=O)O)(O)O,,
500569,B(C(CCC)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)(C)C)NC(=O)[C@H](CC1=CC=CC=C1C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)CCC(=O)O)(O)O,,
504090,B1(OC2C3CC(C3(C)C)C[C@@]2(O1)C)[C@H](CC)NC(=O)C4CCC5=NC=C(C(=O)N45)NCC6=CC(=CC=C6)C(F)(F)F,,
504091,B1(OC2C3CC(C3(C)C)C[C@@]2(O1)C)[C@H](CC)NC(=O)[C@@H]4C[C@@](C5=NC=C(C(=O)N45)NCC6=CC(=CC=C6)C(F)(F)F)(C)NC(=O)NC7=CC=CC=C7,,
504092,B1(OC2C3CC(C3(C)C)C[C@@]2(O1)C)[C@H](CC)NC(=O)[C@@H]4C[C@@](C5=NC=C(C(=O)N45)NCC6=CC(=CC=C6)C(F)(F)F)(C)NC(=O)NCC7=CC=CC=C7,,
504093,B1(OC2C3CC(C3(C)C)C[C@@]2(O1)C)[C@H](CC)NC(=O)C4C[C@@](C5=NC=C(C(=O)N45)NCC6=CC(=CC=C6)C(F)(F)F)(C)NC(=O)C7=CC=CC=C7,,
504094,B1(OC2C3CC(C3(C)C)C[C@@]2(O1)C)[C@H](CC)NC(=O)C4C[C@@](C5=NC=C(C(=O)N45)NCC6=CC(=CC=C6)C(F)(F)F)(C)NC(=O)CC7=CC=CC=C7,,
504095,B1(OC2C3CC(C3(C)C)C[C@@]2(O1)C)[C@H](CC)NC(=O)C4C[C@@](C5=NC=C(C(=O)N45)NCC6=CC(=CC=C6)C(F)(F)F)(C)NC(=O)OC7=CC=CC=C7,,
504096,B1(OC2C3CC(C3(C)C)C[C@@]2(O1)C)[C@H](CC)NC(=O)[C@@H]4C[C@@](C5=NC=C(C(=O)N45)NCC6=CC(=CC=C6)C(F)(F)F)(C)NC(=O)NC7=CC=CC=C7[N+](=O)[O-],,
504097,B1(OC2C3CC(C3(C)C)C[C@@]2(O1)C)[C@H](CC)NC(=O)[C@@H]4C[C@@](C5=NC=C(C(=O)N45)NCC6=CC(=CC=C6)C(F)(F)F)(C)NC(=O)NC7=CC=CC=C7Cl,,
504098,B1(OC2C3CC(C3(C)C)C[C@@]2(O1)C)[C@H](CC)NC(=O)[C@@H]4C[C@@](C5=NC=C(C(=O)N45)NCC6=CC(=CC=C6)C(F)(F)F)(C)NC(=O)NC7=CC=C(C=C7)Cl,,
504099,B1(OC2C3CC(C3(C)C)C[C@@]2(O1)C)[C@H](CC)NC(=O)[C@@H]4C[C@@](C5=NC=C(C(=O)N45)NCC6=CC(=CC=C6)C(F)(F)F)(C)NC(=O)NC7=CC=CC=C7OC,,
504100,B1(OC2C3CC(C3(C)C)C[C@@]2(O1)C)[C@H](CC)NC(=O)[C@@H]4C[C@@](C5=NC=C(C(=O)N45)NCC6=CC(=CC=C6)C(F)(F)F)(C)NC(=O)NC7=CC=CC=C7OCC,,
504101,B1(OC2C3CC(C3(C)C)C[C@@]2(O1)C)[C@H](CC)NC(=O)[C@@H]4C[C@@](C5=NC=C(C(=O)N45)NCC6=CC(=CC=C6)C(F)(F)F)(C)NC(=O)NC7=CC=CC=C7OC8=CC=CC=C8,,
504102,B1(OC2C3CC(C3(C)C)C[C@@]2(O1)C)[C@H](CC)NC(=O)[C@@H]4C[C@@](C5=NC=C(C(=O)N45)NCC6=CC(=CC=C6)C(F)(F)F)(C)NC(=O)NC7=CC=C(C=C7)OC8=CC=CC=C8,,
504103,B1(OC2C3CC(C3(C)C)C[C@@]2(O1)C)[C@H](CC)NC(=O)[C@@H]4C[C@@](C5=NC=C(C(=O)N45)NCC6=CC(=CC=C6)C(F)(F)F)(C)NC(=O)NC7=CC=CC=C7C(=O)OC,,
504104,B1(OC2C3CC(C3(C)C)C[C@@]2(O1)C)[C@H](CC)NC(=O)[C@@H]4C[C@@](C5=NC=C(C(=O)N45)NCC6=CC(=CC=C6)C(F)(F)F)(C)NC(=O)NC7=CC=CC(=C7)C(=O)OC,,
504105,B1(OC2C3CC(C3(C)C)C[C@@]2(O1)C)[C@H](CC)NC(=O)[C@@H]4C[C@@](C5=NC=C(C(=O)N45)NCC6=CC(=CC=C6)C(F)(F)F)(C)NC(=O)NC7=CC=CC=C7C(=O)O,,
504106,B1(OC2C3CC(C3(C)C)C[C@@]2(O1)C)[C@H](CC)NC(=O)[C@@H]4C[C@@](C5=NC=C(C(=O)N45)NCC6=CC(=CC=C6)C(F)(F)F)(C)NC(=O)NC7=CC=CC=C7C(=O)OCC,,
504107,B1(OC2C3CC(C3(C)C)C[C@@]2(O1)C)[C@H](CC)NC(=O)[C@@H]4C[C@@](C5=NC=C(C(=O)N45)NCC6=CC(=CC=C6)C(F)(F)F)(C)NC(=O)NC7=CC=CC(=C7)C(=O)OCC,,
504108,B1(OC2C3CC(C3(C)C)C[C@@]2(O1)C)[C@H](CC)NC(=O)[C@@H]4C[C@@](C5=NC=C(C(=O)N45)NCC6=CC(=CC=C6)C(F)(F)F)(C)NC(=O)NC7=CC=C(C=C7)C(=O)OCC,,
504109,B1(OC2C3CC(C3(C)C)C[C@@]2(O1)C)[C@H](CC)NC(=O)[C@@H]4C[C@@](C5=NC=C(C(=O)N45)NCC6=CC(=CC=C6)C(F)(F)F)(C)NC(=O)NC7=CC=CC=C7SC,,
504110,B1(OC2C3CC(C3(C)C)C[C@@]2(O1)C)[C@H](CC)NC(=O)[C@@H]4C[C@@](C5=NC=C(C(=O)N45)NCC6=CC(=CC=C6)C(F)(F)F)(C)NC(=O)NC7=CC(=CC=C7)SC,,
504111,B1(OC2C3CC(C3(C)C)C[C@@]2(O1)C)[C@H](CC)NC(=O)[C@@H]4C[C@@](C5=NC=C(C(=O)N45)NCC6=CC(=CC=C6)C(F)(F)F)(C)NC(=O)NC7=CC=C(C=C7)SC,,
504112,B1(OC2C3CC(C3(C)C)C[C@@]2(O1)C)[C@H](CC)NC(=O)[C@@H]4C[C@@](C5=NC=C(C(=O)N45)NCC6=CC(=CC=C6)C(F)(F)F)(C)NC(=O)NC7=CC=CC=C7C8=CC=CC=C8,,
504113,B1(OC2C3CC(C3(C)C)C[C@@]2(O1)C)[C@H](CC)NC(=O)[C@@H]4C[C@@](C5=NC=C(C(=O)N45)NCC6=CC(=CC=C6)C(F)(F)F)(C)NC(=O)NC7=CC(=CC=C7)F,,
504114,B1(OC2C3CC(C3(C)C)C[C@@]2(O1)C)[C@H](CC)NC(=O)[C@@H]4C[C@@](C5=NC=C(C(=O)N45)NCC6=CC(=CC=C6)C(F)(F)F)(C)NC(=O)NC7=CC=C(C=C7)F,,
504115,B1(OC2C3CC(C3(C)C)C[C@@]2(O1)C)[C@H](CC)NC(=O)[C@@H]4C[C@@](C5=NC=C(C(=O)N45)NCC6=CC(=CC=C6)C(F)(F)F)(C)NC(=O)NC7=CC=CC=C7C,,
504116,B1(OC2C3CC(C3(C)C)C[C@@]2(O1)C)[C@H](CC)NC(=O)[C@@H]4C[C@@](C5=NC=C(C(=O)N45)NCC6=CC(=CC=C6)C(F)(F)F)(C)NC(=O)NC7=CC=CC8=CC=CC=C87,,
504117,B1(OC2C3CC(C3(C)C)C[C@@]2(O1)C)[C@H](CC)NC(=O)[C@@H]4C[C@@](C5=NC=C(C(=O)N45)NCC6=CC(=CC=C6)C(F)(F)F)(C)CC(=O)NC7=CC=CC=C7,,
504118,B1(OC2C3CC(C3(C)C)C[C@@]2(O1)C)[C@H](CC)NC(=O)[C@@H]4C[C@@](C5=NC=C(C(=O)N45)NCC6=CC(=CC=C6)C(F)(F)F)(C)CC(=O)NC7=CC=CC=C7C(=O)OC,,
504119,B1(OC2C3CC(C3(C)C)C[C@@]2(O1)C)[C@H](CC)NC(=O)[C@@H]4C[C@@](C5=NC=C(C(=O)N45)NCC6=CC(=CC=C6)C(F)(F)F)(C)CC(=O)NC7=CC=CC=C7OC,,
504120,B1(OC2C3CC(C3(C)C)C[C@@]2(O1)C)[C@H](CC)NC(=O)[C@@H]4C[C@@](C5=NC=C(C(=O)N45)NCC6=CC(=CC=C6)C(F)(F)F)(C)CC(=O)NC7=CC=CC=C7[N+](=O)[O-],,
504121,B1(OC2C3CC(C3(C)C)C[C@@]2(O1)C)[C@H](CC)NC(=O)[C@@H]4C[C@@](C5=NC=C(C(=O)N45)NCC6=CC(=CC=C6)C(F)(F)F)(C)CC(=O)NC7=CC(=CC=C7)SC,,
504122,B1(OC2C3CC(C3(C)C)C[C@@]2(O1)C)[C@H](CC)NC(=O)[C@@H]4C[C@@](C5=NC=C(C(=O)N45)NCC6=CC(=CC=C6)C(F)(F)F)(C)CC(=O)NC7=CC=CC8=CC=CC=C87,,
504123,B1(OC2C3CC(C3(C)C)C[C@@]2(O1)C)[C@H](CC)NC(=O)[C@@H]4C[C@@](C5=NC=C(C(=O)N45)NCC6=CC(=CC=C6)C(F)(F)F)(C)CC(=O)NC7=NC=CC8=CC=CC=C87,,
504124,B1(OC2C3CC(C3(C)C)C[C@@]2(O1)C)[C@H](CC)NC(=O)[C@@H]4C[C@@](C5=NC=C(C(=O)N45)NCC6=CC(=CC=C6)C(F)(F)F)(C)CC(=O)NC7=CC=CC=C7C(=O)N,,
